date key,full date,day of week,day num in month,day num overall,day name,day abbrev,weekday flag,week num in year,week num overall,week begin date,week begin date key,month,month num overall,month name,month abbrev,quarter,year,yearmo,fiscal month,fiscal quarter,fiscal year,month end flag
20180101,1/1/2018,1,1,1,Monday,Mon,Y,1,1,1/1/2018,20180101,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180102,1/2/2018,2,2,2,Tuesday,Tue,Y,1,1,1/1/2018,20180101,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180103,1/3/2018,3,3,3,Wednesday,Wed,Y,1,1,1/1/2018,20180101,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180104,1/4/2018,4,4,4,Thursday,Thu,Y,1,1,1/1/2018,20180101,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180105,1/5/2018,5,5,5,Friday,Fri,Y,1,1,1/1/2018,20180101,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180106,1/6/2018,6,6,6,Saturday,Sat,N,1,1,1/1/2018,20180101,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180107,1/7/2018,7,7,7,Sunday,Sun,N,1,1,1/1/2018,20180101,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180108,1/8/2018,1,8,8,Monday,Mon,Y,2,2,1/8/2018,20180108,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180109,1/9/2018,2,9,9,Tuesday,Tue,Y,2,2,1/8/2018,20180108,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180110,1/10/2018,3,10,10,Wednesday,Wed,Y,2,2,1/8/2018,20180108,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180111,1/11/2018,4,11,11,Thursday,Thu,Y,2,2,1/8/2018,20180108,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180112,1/12/2018,5,12,12,Friday,Fri,Y,2,2,1/8/2018,20180108,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180113,1/13/2018,6,13,13,Saturday,Sat,N,2,2,1/8/2018,20180108,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180114,1/14/2018,7,14,14,Sunday,Sun,N,2,2,1/8/2018,20180108,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180115,1/15/2018,1,15,15,Monday,Mon,Y,3,3,1/15/2018,20180115,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180116,1/16/2018,2,16,16,Tuesday,Tue,Y,3,3,1/15/2018,20180115,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180117,1/17/2018,3,17,17,Wednesday,Wed,Y,3,3,1/15/2018,20180115,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180118,1/18/2018,4,18,18,Thursday,Thu,Y,3,3,1/15/2018,20180115,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180119,1/19/2018,5,19,19,Friday,Fri,Y,3,3,1/15/2018,20180115,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180120,1/20/2018,6,20,20,Saturday,Sat,N,3,3,1/15/2018,20180115,1,1,January,Jan,1,2018,201801,7,3,2018,N
