IDZipCode,Province/City,Wards,District,Country,Continents
1,H? Chí Minh,Phu?ng B?n Nghé,Qu?n 1,Vi?t Nam,Châu Á
2,H? Chí Minh,Phu?ng B?n Thành,Qu?n 1,Vi?t Nam,Châu Á
3,H? Chí Minh,Phu?ng C?u Kho,Qu?n 1,Vi?t Nam,Châu Á
4,H? Chí Minh,Phu?ng C?u Ông Lãnh,Qu?n 1,Vi?t Nam,Châu Á
5,H? Chí Minh,Phu?ng Cô Giang,Qu?n 1,Vi?t Nam,Châu Á
6,H? Chí Minh,Phu?ng Ða Kao,Qu?n 1,Vi?t Nam,Châu Á
7,H? Chí Minh,Phu?ng Nguy?n Cu Trinh,Qu?n 1,Vi?t Nam,Châu Á
8,H? Chí Minh,Phu?ng Nguy?n Thái Bình,Qu?n 1,Vi?t Nam,Châu Á
9,H? Chí Minh,Phu?ng Ph?m Ngu Lão,Qu?n 1,Vi?t Nam,Châu Á
10,H? Chí Minh,Phu?ng Tân Ð?nh,Qu?n 1,Vi?t Nam,Châu Á
11,H? Chí Minh,Phu?ng An Khánh,Qu?n 2,Vi?t Nam,Châu Á
12,H? Chí Minh,Phu?ng An L?i Ðông,Qu?n 2,Vi?t Nam,Châu Á
13,H? Chí Minh,Phu?ng An Phú,Qu?n 2,Vi?t Nam,Châu Á
14,H? Chí Minh,Phu?ng Bình An,Qu?n 2,Vi?t Nam,Châu Á
15,H? Chí Minh,Phu?ng Bình Khánh,Qu?n 2,Vi?t Nam,Châu Á
16,H? Chí Minh,Phu?ng Bình Trung Ðông,Qu?n 2,Vi?t Nam,Châu Á
17,H? Chí Minh,Phu?ng Bình Trung Tây,Qu?n 2,Vi?t Nam,Châu Á
18,H? Chí Minh,Phu?ng Cát Lái,Qu?n 2,Vi?t Nam,Châu Á
19,H? Chí Minh,Phu?ng Th?nh M? L?i,Qu?n 2,Vi?t Nam,Châu Á
20,H? Chí Minh,Phu?ng Th?o Ði?n,Qu?n 2,Vi?t Nam,Châu Á
21,H? Chí Minh,Phu?ng Th? Thiêm,Qu?n 2,Vi?t Nam,Châu Á
22,H? Chí Minh,Phu?ng 01,Qu?n 3,Vi?t Nam,Châu Á
23,H? Chí Minh,Phu?ng 02,Qu?n 3,Vi?t Nam,Châu Á
24,H? Chí Minh,Phu?ng 03,Qu?n 3,Vi?t Nam,Châu Á
25,H? Chí Minh,Phu?ng 04,Qu?n 3,Vi?t Nam,Châu Á
26,H? Chí Minh,Phu?ng 05,Qu?n 3,Vi?t Nam,Châu Á
27,H? Chí Minh,Phu?ng 06,Qu?n 3,Vi?t Nam,Châu Á
28,H? Chí Minh,Phu?ng 07,Qu?n 3,Vi?t Nam,Châu Á
29,H? Chí Minh,Phu?ng 08,Qu?n 3,Vi?t Nam,Châu Á
30,H? Chí Minh,Phu?ng 09,Qu?n 3,Vi?t Nam,Châu Á
31,H? Chí Minh,Phu?ng 10,Qu?n 3,Vi?t Nam,Châu Á
32,H? Chí Minh,Phu?ng 11,Qu?n 3,Vi?t Nam,Châu Á
33,H? Chí Minh,Phu?ng 12,Qu?n 3,Vi?t Nam,Châu Á
34,H? Chí Minh,Phu?ng 13,Qu?n 3,Vi?t Nam,Châu Á
35,H? Chí Minh,Phu?ng 14,Qu?n 3,Vi?t Nam,Châu Á
36,H? Chí Minh,Phu?ng 01,Qu?n 4,Vi?t Nam,Châu Á
37,H? Chí Minh,Phu?ng 02,Qu?n 4,Vi?t Nam,Châu Á
38,H? Chí Minh,Phu?ng 03,Qu?n 4,Vi?t Nam,Châu Á
39,H? Chí Minh,Phu?ng 04,Qu?n 4,Vi?t Nam,Châu Á
40,H? Chí Minh,Phu?ng 05,Qu?n 4,Vi?t Nam,Châu Á
41,H? Chí Minh,Phu?ng 06,Qu?n 4,Vi?t Nam,Châu Á
42,H? Chí Minh,Phu?ng 08,Qu?n 4,Vi?t Nam,Châu Á
43,H? Chí Minh,Phu?ng 09,Qu?n 4,Vi?t Nam,Châu Á
44,H? Chí Minh,Phu?ng 10,Qu?n 4,Vi?t Nam,Châu Á
45,H? Chí Minh,Phu?ng 12,Qu?n 4,Vi?t Nam,Châu Á
46,H? Chí Minh,Phu?ng 13,Qu?n 4,Vi?t Nam,Châu Á
47,H? Chí Minh,Phu?ng 14,Qu?n 4,Vi?t Nam,Châu Á
48,H? Chí Minh,Phu?ng 15,Qu?n 4,Vi?t Nam,Châu Á
49,H? Chí Minh,Phu?ng 16,Qu?n 4,Vi?t Nam,Châu Á
50,H? Chí Minh,Phu?ng 18,Qu?n 4,Vi?t Nam,Châu Á
51,H? Chí Minh,Phu?ng 01,Qu?n 5,Vi?t Nam,Châu Á
52,H? Chí Minh,Phu?ng 02,Qu?n 5,Vi?t Nam,Châu Á
